DATAFLOW,LAST UPDATE,freq,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CY,2013,0.32,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CY,2014,0.41,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CY,2015,0.36,bu
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CY,2016,0.55,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CY,2017,0.67,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CY,2018,0.58,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CY,2019,0.41,u
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CY,2020,0.79,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CY,2021,0.80,b
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CY,2022,0.57,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CZ,2013,0.43,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CZ,2014,0.46,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CZ,2015,0.51,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CZ,2016,0.54,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CZ,2017,0.58,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CZ,2018,0.57,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CZ,2019,0.55,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CZ,2020,0.48,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CZ,2021,0.53,b
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,CZ,2022,0.55,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,DE,2013,0.48,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,DE,2014,0.47,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,DE,2015,0.45,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,DE,2016,0.48,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,DE,2017,0.49,
ESTAT:SPRT_EMP_AGE(1.0),13/06/23 11:00:00,A,Y30-64,PC_EMP,DE,2018,0.50,
